Attribute,Metrics category,Agent-Oriented Metrics,Approach,Source,Source link
Belief and value,"Bias, fairness, ethics metrics",Exaggeration (normalized average cosine similarity),Automatic,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,https://arxiv.org/abs/2310.11501
Belief and value,"Bias, fairness, ethics metrics",Individuation (classification accuracy),Automatic,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,https://arxiv.org/abs/2310.11501
Belief and value,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,Bias Runs Deep: Implicit Reasoning Biases in Persona-Assigned LLMs,https://arxiv.org/abs/2311.04892
Belief and value,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,Systematic Biases in LLM Simulations of Debates,https://arxiv.org/pdf/2402.04049
Demographic information,"Bias, fairness, ethics metrics",Exaggeration (normalized average cosine similarity),Automatic,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,https://arxiv.org/abs/2310.11501
Demographic information,"Bias, fairness, ethics metrics",Individuation (classification accuracy),Automatic,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,https://arxiv.org/abs/2310.11501
Demographic information,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,Bias Runs Deep: Implicit Reasoning Biases in Persona-Assigned LLMs,https://arxiv.org/abs/2311.04892
Demographic information,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,SAUCE: Synchronous and Asynchronous User-Customizable Environment for Multi-Agent LLM Interaction,https://arxiv.org/abs/2411.03397
Demographic information,"Bias, fairness, ethics metrics","Bias (performance disparity, prevalence, magnitude, variation, attitude shift)",Automatic,Systematic Biases in LLM Simulations of Debates,https://arxiv.org/pdf/2402.04049
Demographic information,"Bias, fairness, ethics metrics",Message toxicity,Automatic,On LLM Wizards: Identifying Large Language Models’ Behaviors for Wizard of Oz Experiments,https://arxiv.org/pdf/2407.08067
Activity history,Content and textual metrics,Coherence,LLM,Schema-Guided Culture-Aware Complex Event Simulation with Multi-Agent Role-Play,https://aclanthology.org/2024.emnlp-demo.39.pdf
Activity history,Content and textual metrics,Clarity,Human,"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",https://dl.acm.org/doi/10.1145/3613904.3642363
Activity history,Content and textual metrics,"Diversity of dialog (Shannon entropy, intra-remote-clique, inter-remote-clique, semantic similarity, longest common subsequence similarity)",Automatic,"CloChat: Understanding How People Customize, Interact, and Experience Personas in Large Language Models",https://dl.acm.org/doi/pdf/10.1145/3613904.3642472
