Attribute,Metrics category,Task-Oriented Metrics,Approach,Source,Source link
Decision making,Social and economic metrics,"Negotiation (Concession Rate, Negotiation Success Rate, Average Negotiation Round)",Automatic,How Personality Traits Influence Negotiation Outcomes? A Simulation based on Large Language Models,https://arxiv.org/abs/2407.11549
Decision making,Social and economic metrics,"Societal Satisfaction (average per-capita living area size, average waiting time, social welfare)",Automatic,SRAP-Agent: Simulating and Optimizing Scarce Resource Allocation Policy with LLM-based Agent,https://aclanthology.org/2024.findings-emnlp.15.pdf
Decision making,Social and economic metrics,"Societal Fairness (variance in per capita living area size, number of inverse order pairs in house allocation, Gini coefficient)",Automatic,SRAP-Agent: Simulating and Optimizing Scarce Resource Allocation Policy with LLM-based Agent,https://aclanthology.org/2024.findings-emnlp.15.pdf
Decision making,Social and economic metrics,"Macroeconomic (Inflation rate, Unemployment rate, Nominal GDP, Nominal GDP growth, Wage inflation, Real GDP growth, Expected monthly income, Consumption)",Automatic,EconAgent: Large Language Model-Empowered Agents for Simulating Macroeconomic Activities,https://arxiv.org/abs/2310.10436
Decision making,Social and economic metrics,"Market and Consumer (Purchase probability, Expected competing product price, Customer counts, Price consistency between competitors)",Automatic,The Challenge of Using LLMs to Simulate Human Behavior: A Causal Inference Perspective,https://arxiv.org/abs/2312.15524
Decision making,Social and economic metrics,"Market and Consumer (Purchase probability, Expected competing product price, Customer counts, Price consistency between competitors)",Automatic,CompeteAI: Understanding the Competition Dynamics in Large Language Model-based Agents,https://arxiv.org/abs/2310.17512
Decision making,Social and economic metrics,Probability weighting,Automatic,Decision-Making Behavior Evaluation Framework for LLMs under Uncertain Context,https://arxiv.org/abs/2406.05972
Decision making,Social and economic metrics,"Utility (Intrinsic Utility, Joint Utility)",Automatic,How Personality Traits Influence Negotiation Outcomes? A Simulation based on Large Language Models,https://arxiv.org/abs/2407.11549
Decision making,Psychological metrics,"Level of trust (distribution of amounts sent, trust rate)",Automatic,Can Large Language Model Agents Simulate Human Trust Behavior?,https://arxiv.org/abs/2402.04559
Decision making,Psychological metrics,Risk preference,Automatic,Decision-Making Behavior Evaluation Framework for LLMs under Uncertain Context,https://arxiv.org/abs/2406.05972
Decision making,Psychological metrics,Loss aversion,Automatic,Decision-Making Behavior Evaluation Framework for LLMs under Uncertain Context,https://arxiv.org/abs/2406.05972
Decision making,Psychological metrics,"Selfishness (Selfishness Index, Difference Index)",Automatic,Will LLMs Sink or Swim? Exploring Decision-Making Under Pressure,https://aclanthology.org/2024.findings-emnlp.668.pdf
Decision making,Performance metrics,Frequency (distribution of expert type),Automatic,DEEM: Dynamic Experienced Expert Modeling for Stance Detection,https://aclanthology.org/2024.lrec-main.405.pdf
Decision making,Performance metrics,Valid response rate,Automatic,Can Large Language Model Agents Simulate Human Trust Behavior?,https://arxiv.org/abs/2402.04559
Decision making,Performance metrics,"Web search quality (Mean reciprocal rank, Mean reciprocal rank)",Automatic,BASES: Large-scale Web Search User Simulation with Large Language Model based Agents,https://aclanthology.org/2024.findings-emnlp.50.pdf
